age,sex,cs,nscv,cscv
0,male,1,1,1
1,male,1,1,1
2,male,1,1,1
3,male,1,1,1
4,male,1,1,1
5,male,1,1,1
6,male,1,1,1
7,male,1,1,1
8,male,1,1,1
9,male,1,1,1
10,male,1,1,1
11,male,1,1,1
12,male,1,1,1
13,male,1,1,1
14,male,1,1,1
15,male,1,1,1
16,male,1,1,1
17,male,1,1,1
18,male,1,1,1
19,male,1,1,1
20,male,0.76,0.9,0.76
21,male,0.76,0.9,0.76
22,male,0.76,0.9,0.76
23,male,0.76,0.9,0.76
24,male,0.76,0.9,0.76
25,male,0.76,0.9,0.76
26,male,0.76,0.9,0.76
27,male,0.76,0.9,0.76
28,male,0.76,0.9,0.76
29,male,0.76,0.9,0.76
30,male,0.76,0.9,0.76
31,male,0.76,0.9,0.76
32,male,0.76,0.9,0.76
33,male,0.76,0.9,0.76
34,male,0.76,0.9,0.76
35,male,0.76,0.9,0.76
36,male,0.76,0.9,0.76
37,male,0.76,0.9,0.76
38,male,0.76,0.9,0.76
39,male,0.76,0.9,0.76
40,male,0.76,0.9,0.76
41,male,0.76,0.9,0.76
42,male,0.76,0.9,0.76
43,male,0.76,0.9,0.76
44,male,0.76,0.9,0.76
45,male,0.76,0.9,0.76
46,male,0.76,0.9,0.76
47,male,0.76,0.9,0.76
48,male,0.76,0.9,0.76
49,male,0.76,0.9,0.76
50,male,0.76,0.9,0.76
51,male,0.76,0.9,0.76
52,male,0.76,0.9,0.76
53,male,0.76,0.9,0.76
54,male,0.76,0.9,0.76
55,male,0.76,0.9,0.76
56,male,0.76,0.9,0.76
57,male,0.76,0.9,0.76
58,male,0.76,0.9,0.76
59,male,0.76,0.9,0.76
60,male,0.76,0.9,0.76
61,male,0.76,0.9,0.76
62,male,0.76,0.9,0.76
63,male,0.76,0.9,0.76
64,male,0.76,0.9,0.76
65,male,0.76,0.9,0.76
66,male,0.76,0.9,0.76
67,male,0.76,0.9,0.76
68,male,0.76,0.9,0.76
69,male,0.76,0.9,0.76
70,male,0.76,0.9,0.76
71,male,0.76,0.9,0.76
72,male,0.76,0.9,0.76
73,male,0.76,0.9,0.76
74,male,0.76,0.9,0.76
75,male,0.76,0.9,0.76
76,male,0.76,0.9,0.76
77,male,0.76,0.9,0.76
78,male,0.76,0.9,0.76
79,male,0.76,0.9,0.76
80,male,0.76,0.9,0.76
81,male,0.76,0.9,0.76
82,male,0.76,0.9,0.76
83,male,0.76,0.9,0.76
84,male,0.76,0.9,0.76
85,male,0.76,0.9,0.76
86,male,0.76,0.9,0.76
87,male,0.76,0.9,0.76
88,male,0.76,0.9,0.76
89,male,0.76,0.9,0.76
90,male,0.76,0.9,0.76
91,male,0.76,0.9,0.76
92,male,0.76,0.9,0.76
93,male,0.76,0.9,0.76
94,male,0.76,0.9,0.76
95,male,0.76,0.9,0.76
96,male,0.76,0.9,0.76
97,male,0.76,0.9,0.76
98,male,0.76,0.9,0.76
99,male,0.76,0.9,0.76
100,male,0.76,0.9,0.76
101,male,0.76,0.9,0.76
102,male,0.76,0.9,0.76
103,male,0.76,0.9,0.76
104,male,0.76,0.9,0.76
105,male,0.76,0.9,0.76
106,male,0.76,0.9,0.76
107,male,0.76,0.9,0.76
108,male,0.76,0.9,0.76
109,male,0.76,0.9,0.76
0,female,1,1,1
1,female,1,1,1
2,female,1,1,1
3,female,1,1,1
4,female,1,1,1
5,female,1,1,1
6,female,1,1,1
7,female,1,1,1
8,female,1,1,1
9,female,1,1,1
10,female,1,1,1
11,female,1,1,1
12,female,1,1,1
13,female,1,1,1
14,female,1,1,1
15,female,1,1,1
16,female,1,1,1
17,female,1,1,1
18,female,1,1,1
19,female,1,1,1
20,female,0.76,0.9,0.76
21,female,0.76,0.9,0.76
22,female,0.76,0.9,0.76
23,female,0.76,0.9,0.76
24,female,0.76,0.9,0.76
25,female,0.76,0.9,0.76
26,female,0.76,0.9,0.76
27,female,0.76,0.9,0.76
28,female,0.76,0.9,0.76
29,female,0.76,0.9,0.76
30,female,0.76,0.9,0.76
31,female,0.76,0.9,0.76
32,female,0.76,0.9,0.76
33,female,0.76,0.9,0.76
34,female,0.76,0.9,0.76
35,female,0.76,0.9,0.76
36,female,0.76,0.9,0.76
37,female,0.76,0.9,0.76
38,female,0.76,0.9,0.76
39,female,0.76,0.9,0.76
40,female,0.76,0.9,0.76
41,female,0.76,0.9,0.76
42,female,0.76,0.9,0.76
43,female,0.76,0.9,0.76
44,female,0.76,0.9,0.76
45,female,0.76,0.9,0.76
46,female,0.76,0.9,0.76
47,female,0.76,0.9,0.76
48,female,0.76,0.9,0.76
49,female,0.76,0.9,0.76
50,female,0.76,0.9,0.76
51,female,0.76,0.9,0.76
52,female,0.76,0.9,0.76
53,female,0.76,0.9,0.76
54,female,0.76,0.9,0.76
55,female,0.76,0.9,0.76
56,female,0.76,0.9,0.76
57,female,0.76,0.9,0.76
58,female,0.76,0.9,0.76
59,female,0.76,0.9,0.76
60,female,0.76,0.9,0.76
61,female,0.76,0.9,0.76
62,female,0.76,0.9,0.76
63,female,0.76,0.9,0.76
64,female,0.76,0.9,0.76
65,female,0.76,0.9,0.76
66,female,0.76,0.9,0.76
67,female,0.76,0.9,0.76
68,female,0.76,0.9,0.76
69,female,0.76,0.9,0.76
70,female,0.76,0.9,0.76
71,female,0.76,0.9,0.76
72,female,0.76,0.9,0.76
73,female,0.76,0.9,0.76
74,female,0.76,0.9,0.76
75,female,0.76,0.9,0.76
76,female,0.76,0.9,0.76
77,female,0.76,0.9,0.76
78,female,0.76,0.9,0.76
79,female,0.76,0.9,0.76
80,female,0.76,0.9,0.76
81,female,0.76,0.9,0.76
82,female,0.76,0.9,0.76
83,female,0.76,0.9,0.76
84,female,0.76,0.9,0.76
85,female,0.76,0.9,0.76
86,female,0.76,0.9,0.76
87,female,0.76,0.9,0.76
88,female,0.76,0.9,0.76
89,female,0.76,0.9,0.76
90,female,0.76,0.9,0.76
91,female,0.76,0.9,0.76
92,female,0.76,0.9,0.76
93,female,0.76,0.9,0.76
94,female,0.76,0.9,0.76
95,female,0.76,0.9,0.76
96,female,0.76,0.9,0.76
97,female,0.76,0.9,0.76
98,female,0.76,0.9,0.76
99,female,0.76,0.9,0.76
100,female,0.76,0.9,0.76
101,female,0.76,0.9,0.76
102,female,0.76,0.9,0.76
103,female,0.76,0.9,0.76
104,female,0.76,0.9,0.76
105,female,0.76,0.9,0.76
106,female,0.76,0.9,0.76
107,female,0.76,0.9,0.76
108,female,0.76,0.9,0.76
109,female,0.76,0.9,0.76
