age,sex,expenditure_rate
0,female,0
0,male,0
1,female,0
1,male,0
2,female,0
2,male,0
3,female,0
3,male,0
4,female,0
4,male,0
5,female,0
5,male,0
6,female,0
6,male,0
7,female,0
7,male,0
8,female,0
8,male,0
9,female,0
9,male,0
10,female,0
10,male,0
11,female,0
11,male,0
12,female,0
12,male,0
13,female,0
13,male,0
14,female,0
14,male,0
15,female,0
15,male,0
16,female,0
16,male,0
17,female,0
17,male,0
18,female,0
18,male,0
19,female,0
19,male,0
20,female,0
20,male,0
21,female,0
21,male,0
22,female,0
22,male,0
23,female,0
23,male,0
24,female,0
24,male,0
25,female,0
25,male,0
26,female,0
26,male,0
27,female,0
27,male,0
28,female,0
28,male,0
29,female,0
29,male,0
30,female,0
30,male,0
31,female,0
31,male,0
32,female,0
32,male,0
33,female,0
33,male,0
34,female,0
34,male,0
35,female,0
35,male,0
36,female,0
36,male,0
37,female,0
37,male,0
38,female,0
38,male,0
39,female,0
39,male,0
40,female,0
40,male,0
41,female,0
41,male,0
42,female,0
42,male,0
43,female,0
43,male,0
44,female,0
44,male,0
45,female,0
45,male,0
46,female,0
46,male,0
47,female,0
47,male,0
48,female,0
48,male,0
49,female,0
49,male,0
50,female,0
50,male,0
51,female,0
51,male,0
52,female,0
52,male,0
53,female,0
53,male,0
54,female,0
54,male,0
55,female,0
55,male,0
56,female,0
56,male,0
57,female,0
57,male,0
58,female,0
58,male,0
59,female,0
59,male,0
60,female,0
60,male,0
61,female,0
61,male,0
62,female,0
62,male,0
63,female,0
63,male,0
64,female,0
64,male,0
65,female,0
65,male,0
66,female,0
66,male,0
67,female,0
67,male,0
68,female,0
68,male,0
69,female,0
69,male,0
70,female,0
70,male,0
71,female,0
71,male,0
72,female,0
72,male,0
73,female,0
73,male,0
74,female,0
74,male,0
75,female,0
75,male,0
76,female,0
76,male,0
77,female,0
77,male,0
78,female,0
78,male,0
79,female,0
79,male,0
80,female,0
80,male,0
81,female,0
81,male,0
82,female,0
82,male,0
83,female,0
83,male,0
84,female,0
84,male,0
85,female,0
85,male,0
86,female,0
86,male,0
87,female,0
87,male,0
88,female,0
88,male,0
89,female,0
89,male,0
90,female,0
90,male,0
91,female,0
91,male,0
92,female,0
92,male,0
93,female,0
93,male,0
94,female,0
94,male,0
95,female,0
95,male,0
96,female,0
96,male,0
97,female,0
97,male,0
98,female,0
98,male,0
99,female,0
99,male,0
100,female,0
100,male,0
101,female,0
101,male,0
102,female,0
102,male,0
103,female,0
103,male,0
104,female,0
104,male,0
105,female,0
105,male,0
106,female,0
106,male,0
107,female,0
107,male,0
108,female,0
108,male,0
109,female,0
109,male,0
110,female,0
110,male,0
